Customer ID,Order Date,Order ID,Postal Code,Product ID,Row ID,Segment,Ship Date,Ship Mode,CY Profit,CY Quantity,CY Sales,Discount,Order Date (Year),Profit,PY Profit,PY Quantity,PY Sales,Quantity,Sales
CG-12520,08-11-2022,CA-2022-152156,42420,FUR-BO-10001798,1,Consumer,11-11-2022,Second Class,,,,0,2022,$0K,$0K,0K,$0K,2,261.96
CG-12520,08-11-2022,CA-2022-152156,42420,FUR-CH-10000454,2,Consumer,11-11-2022,Second Class,,,,0,2022,$0K,$0K,0K,$1K,3,731.94
DV-13045,12-06-2022,CA-2022-138688,90036,OFF-LA-10000240,3,Corporate,16-06-2022,Second Class,,,,0,2022,$0K,$0K,0K,$0K,2,14.62
SO-20335,11-10-2021,US-2021-108966,33311,FUR-TA-10000577,4,Consumer,18-10-2021,Standard Class,,,,0.45,2021,$0K,,,,5,957.5775
SO-20335,11-10-2021,US-2021-108966,33311,OFF-ST-10000760,5,Consumer,18-10-2021,Standard Class,,,,0.2,2021,$0K,,,,2,22.368
BH-11710,09-06-2020,CA-2020-115812,90032,FUR-FU-10001487,6,Consumer,14-06-2020,Standard Class,,,,0,2020,$0K,,,,7,48.86
BH-11710,09-06-2020,CA-2020-115812,90032,OFF-AR-10002833,7,Consumer,14-06-2020,Standard Class,,,,0,2020,$0K,,,,4,7.28
BH-11710,09-06-2020,CA-2020-115812,90032,TEC-PH-10002275,8,Consumer,14-06-2020,Standard Class,,,,0.2,2020,$0K,,,,6,907.152
BH-11710,09-06-2020,CA-2020-115812,90032,OFF-BI-10003910,9,Consumer,14-06-2020,Standard Class,,,,0.2,2020,$0K,,,,3,18.504
BH-11710,09-06-2020,CA-2020-115812,90032,OFF-AP-10002892,10,Consumer,14-06-2020,Standard Class,,,,0,2020,$0K,,,,5,114.9
BH-11710,09-06-2020,CA-2020-115812,90032,FUR-TA-10001539,11,Consumer,14-06-2020,Standard Class,,,,0.2,2020,$0K,,,,9,1706.184
BH-11710,09-06-2020,CA-2020-115812,90032,TEC-PH-10002033,12,Consumer,14-06-2020,Standard Class,,,,0.2,2020,$0K,,,,4,911.424
AA-10480,15-04-2023,CA-2023-114412,28027,OFF-PA-10002365,13,Consumer,20-04-2023,Standard Class,$0K,0K,$0K,0.2,2023,$0K,,,,3,15.552
IM-15070,05-12-2022,CA-2022-161389,98103,OFF-BI-10003656,14,Consumer,10-12-2022,Standard Class,,,,0.2,2022,$0K,$0K,0K,$0K,3,407.976
HP-14815,22-11-2021,US-2021-118983,76106,OFF-AP-10002311,15,Home Office,26-11-2021,Standard Class,,,,0.8,2021,$0K,,,,5,68.81
HP-14815,22-11-2021,US-2021-118983,76106,OFF-BI-10000756,16,Home Office,26-11-2021,Standard Class,,,,0.8,2021,$0K,,,,3,2.544
PK-19075,11-11-2020,CA-2020-105893,53711,OFF-ST-10004186,17,Consumer,18-11-2020,Standard Class,,,,0,2020,$0K,,,,6,665.88
AG-10270,13-05-2020,CA-2020-167164,84084,OFF-ST-10000107,18,Consumer,15-05-2020,Second Class,,,,0,2020,$0K,,,,2,55.5
ZD-21925,27-08-2020,CA-2020-143336,94109,OFF-AR-10003056,19,Consumer,01-09-2020,Second Class,,,,0,2020,$0K,,,,2,8.56
ZD-21925,27-08-2020,CA-2020-143336,94109,TEC-PH-10001949,20,Consumer,01-09-2020,Second Class,,,,0.2,2020,$0K,,,,3,213.48
ZD-21925,27-08-2020,CA-2020-143336,94109,OFF-BI-10002215,21,Consumer,01-09-2020,Second Class,,,,0.2,2020,$0K,,,,4,22.72
KB-16585,09-12-2022,CA-2022-137330,68025,OFF-AR-10000246,22,Corporate,13-12-2022,Standard Class,,,,0,2022,$0K,$0K,0K,$0K,7,19.46
KB-16585,09-12-2022,CA-2022-137330,68025,OFF-AP-10001492,23,Corporate,13-12-2022,Standard Class,,,,0,2022,$0K,$0K,0K,$0K,7,60.34
SF-20065,16-07-2023,US-2023-156909,19140,FUR-CH-10002774,24,Consumer,18-07-2023,Second Class,$0K,0K,$0K,0.3,2023,$0K,,,,2,71.372
EB-13870,25-09-2021,CA-2021-106320,84057,FUR-TA-10000577,25,Consumer,30-09-2021,Standard Class,,,,0,2021,$0K,,,,3,1044.63
EH-13945,16-01-2022,CA-2022-121755,90049,OFF-BI-10001634,26,Consumer,20-01-2022,Second Class,,,,0.2,2022,$0K,$0K,0K,$0K,2,11.648
EH-13945,16-01-2022,CA-2022-121755,90049,TEC-AC-10003027,27,Consumer,20-01-2022,Second Class,,,,0,2022,$0K,$0K,0K,$0K,3,90.57
TB-21520,17-09-2021,US-2021-150630,19140,FUR-BO-10004834,28,Consumer,21-09-2021,Standard Class,,,,0.5,2021,-$2K,,,,7,3083.43
TB-21520,17-09-2021,US-2021-150630,19140,OFF-BI-10000474,29,Consumer,21-09-2021,Standard Class,,,,0.7,2021,$0K,,,,2,9.618
TB-21520,17-09-2021,US-2021-150630,19140,FUR-FU-10004848,30,Consumer,21-09-2021,Standard Class,,,,0.2,2021,$0K,,,,3,124.2
TB-21520,17-09-2021,US-2021-150630,19140,OFF-EN-10001509,31,Consumer,21-09-2021,Standard Class,,,,0.2,2021,$0K,,,,2,3.264
TB-21520,17-09-2021,US-2021-150630,19140,OFF-AR-10004042,32,Consumer,21-09-2021,Standard Class,,,,0.2,2021,$0K,,,,6,86.304
TB-21520,17-09-2021,US-2021-150630,19140,OFF-BI-10001525,33,Consumer,21-09-2021,Standard Class,,,,0.7,2021,$0K,,,,6,6.858
TB-21520,17-09-2021,US-2021-150630,19140,OFF-AR-10001683,34,Consumer,21-09-2021,Standard Class,,,,0.2,2021,$0K,,,,2,15.76
MA-17560,19-10-2023,CA-2023-107727,77095,OFF-PA-10000249,35,Home Office,23-10-2023,Second Class,$0K,0K,$0K,0.2,2023,$0K,,,,3,29.472
GH-14485,08-12-2022,CA-2022-117590,75080,TEC-PH-10004977,36,Corporate,10-12-2022,First Class,,,,0.2,2022,$0K,$0K,0K,$1K,7,1097.544
GH-14485,08-12-2022,CA-2022-117590,75080,FUR-FU-10003664,37,Corporate,10-12-2022,First Class,,,,0.6,2022,$0K,$0K,0K,$0K,5,190.92
